# x	AxA	BxB	3Ax4B	4Ax3B
-7.876799999999971988e+03 9.999999902268682517e-01 9.999999576736159357e-01 9.999999925952206548e-01 1.000000036540160675e+00
-7.875199999999971624e+03 1.000000033071084093e+00 9.999999875198827270e-01 9.999999932871309616e-01 1.000000029590926598e+00
-7.873599999999971260e+03 1.000000077261683717e+00 1.000000019765381332e+00 1.000000030577579135e+00 1.000000032863114896e+00
-7.871999999999970896e+03 1.000000074195027455e+00 1.000000042849396031e+00 1.000000041775808812e+00 1.000000066989312097e+00
-7.870399999999970532e+03 1.000000066696039802e+00 1.000000063784240556e+00 1.000000036356440747e+00 1.000000119031855039e+00
-7.868799999999970169e+03 1.000000073734871764e+00 1.000000081839112376e+00 1.000000022527805399e+00 1.000000155440268435e+00
-7.867199999999969805e+03 1.000000082400711587e+00 1.000000099367146955e+00 1.000000000781151588e+00 1.000000151198500831e+00
-7.865599999999969441e+03 1.000000096583178344e+00 1.000000095231238451e+00 9.999999966145497465e-01 1.000000132661143182e+00
-7.863999999999969077e+03 1.000000106954323620e+00 1.000000103348960057e+00 9.999999936198760153e-01 1.000000115517228227e+00
-7.862399999999968713e+03 1.000000117175829262e+00 1.000000098978759411e+00 1.000000017398567920e+00 1.000000094365771197e+00
-7.860799999999968350e+03 1.000000086927734566e+00 1.000000089821065252e+00 1.000000047462221708e+00 1.000000044171512448e+00
-7.859199999999967986e+03 1.000000070442239375e+00 1.000000078857522068e+00 1.000000058954142679e+00 9.999999853147778506e-01
-7.857599999999967622e+03 1.000000050633829352e+00 1.000000073324217365e+00 1.000000078481486865e+00 9.999999530107681611e-01
-7.855999999999967258e+03 1.000000008915590266e+00 1.000000045394296988e+00 1.000000076228428902e+00 9.999999652804881789e-01
-7.854399999999966894e+03 9.999999784937879665e-01 1.000000037506076023e+00 1.000000080983869388e+00 1.000000000174128267e+00
-7.852799999999966531e+03 9.999999415736605668e-01 1.000000039681578468e+00 1.000000073890828789e+00 1.000000023368859958e+00
-7.851199999999966167e+03 9.999999409210530432e-01 1.000000062613256802e+00 1.000000044426449852e+00 1.000000033239279551e+00
-7.849599999999965803e+03 9.999999751630858080e-01 1.000000052857259902e+00 1.000000034031547580e+00 1.000000027673296765e+00
-7.847999999999965439e+03 1.000000028177812528e+00 1.000000052591014432e+00 1.000000039817393604e+00 1.000000008900222337e+00
-7.846399999999965075e+03 1.000000077339872284e+00 1.000000044451633707e+00 1.000000073823192226e+00 9.999999885276609213e-01
-7.844799999999964712e+03 1.000000096235138747e+00 1.000000036573935214e+00 1.000000137294497549e+00 9.999999621010771111e-01
-7.843199999999964348e+03 1.000000122126903923e+00 1.000000018768253396e+00 1.000000158373181236e+00 9.999999393441705298e-01
-7.841599999999963984e+03 1.000000139257802623e+00 1.000000016424727356e+00 1.000000151937405990e+00 9.999999227351454856e-01
-7.839999999999963620e+03 1.000000125812737783e+00 1.000000024006463040e+00 1.000000097026031209e+00 9.999999183190479979e-01
-7.838399999999963256e+03 1.000000092878857938e+00 1.000000035209668292e+00 1.000000027036466621e+00 9.999999257608462866e-01
-7.836799999999962893e+03 1.000000032227335911e+00 1.000000029160006854e+00 1.000000006786240236e+00 9.999999347645806003e-01
-7.835199999999962529e+03 9.999999950959539419e-01 9.999999967044934657e-01 1.000000065944832706e+00 9.999999457058027508e-01
-7.833599999999962165e+03 9.999999587225940623e-01 9.999999698037694840e-01 1.000000133933220736e+00 9.999999378043180620e-01
-7.831999999999961801e+03 9.999999716634357938e-01 9.999999612456722531e-01 1.000000167714357513e+00 9.999999322160000315e-01
-7.830399999999961437e+03 1.000000009430602077e+00 9.999999675484361195e-01 1.000000150593113757e+00 9.999999530593935981e-01
-7.828799999999961074e+03 1.000000037606169956e+00 9.999999559792477344e-01 1.000000100250087787e+00 9.999999936970513925e-01
-7.827199999999960710e+03 1.000000045101741009e+00 9.999999324261440448e-01 1.000000053575212711e+00 1.000000031050436000e+00
-7.825599999999960346e+03 1.000000049985456885e+00 9.999998942265586610e-01 1.000000026090589467e+00 1.000000042789858989e+00
-7.823999999999959982e+03 1.000000039984759059e+00 9.999998742951369257e-01 1.000000011219899010e+00 1.000000033089529561e+00
-7.822399999999959618e+03 1.000000021478673951e+00 9.999998769688380751e-01 9.999999984731454683e-01 1.000000006318037205e+00
-7.820799999999959255e+03 1.000000017029806898e+00 9.999999137111291736e-01 1.000000003312911279e+00 9.999999924742134505e-01
-7.819199999999958891e+03 1.000000027678613845e+00 9.999999667378899337e-01 1.000000046590429070e+00 1.000000008881621882e+00
-7.817599999999958527e+03 1.000000062990888949e+00 9.999999880985697143e-01 1.000000091966419369e+00 1.000000053741040285e+00
-7.815999999999958163e+03 1.000000075264273480e+00 9.999999930180786256e-01 1.000000085813144590e+00 1.000000088995116387e+00
-7.814399999999957799e+03 1.000000061434422216e+00 9.999999990564301111e-01 1.000000060941816926e+00 1.000000089888346544e+00
-7.812799999999957436e+03 1.000000023738351063e+00 1.000000008596777956e+00 1.000000054440299158e+00 1.000000072279333629e+00
-7.811199999999957072e+03 1.000000002208906613e+00 1.000000029651836320e+00 1.000000070418545883e+00 1.000000062225590458e+00
-7.809599999999956708e+03 1.000000039566680599e+00 1.000000047976101092e+00 1.000000090523637031e+00 1.000000074099139935e+00
-7.807999999999956344e+03 1.000000122885566389e+00 1.000000072706238363e+00 1.000000110115357277e+00 1.000000085210259959e+00
-7.806399999999955980e+03 1.000000206534047420e+00 1.000000059455638635e+00 1.000000121555330468e+00 1.000000092721362366e+00
-7.804799999999955617e+03 1.000000235157325612e+00 1.000000042889785279e+00 1.000000114484310698e+00 1.000000089392084845e+00
-7.803199999999955253e+03 1.000000229494866666e+00 1.000000028826915299e+00 1.000000084583026583e+00 1.000000075462695648e+00
-7.801599999999954889e+03 1.000000197815856584e+00 1.000000019491268155e+00 1.000000034310991381e+00 1.000000047523663893e+00
-7.799999999999954525e+03 1.000000193392943659e+00 1.000000026857074564e+00 9.999999992270883764e-01 1.000000026278768495e+00
-7.798399999999954161e+03 1.000000218985643174e+00 1.000000022177012671e+00 9.999999511337178681e-01 1.000000044739684624e+00
-7.796799999999953798e+03 1.000000229189394574e+00 9.999999958642865616e-01 9.999999268938061237e-01 1.000000102666690482e+00
-7.795199999999953434e+03 1.000000239229581256e+00 9.999999632279399364e-01 9.999999017846277205e-01 1.000000172653760844e+00
-7.793599999999953070e+03 1.000000248224281130e+00 9.999999471752413216e-01 9.999998966497022357e-01 1.000000208076112562e+00
-7.791999999999952706e+03 1.000000202577180586e+00 9.999999308497270478e-01 9.999998652925163878e-01 1.000000212333460148e+00
-7.790399999999952342e+03 1.000000132251804175e+00 9.999999433387636305e-01 9.999998584868932117e-01 1.000000211691030039e+00
-7.788799999999951979e+03 1.000000096290248663e+00 9.999999906279786188e-01 9.999998822607947258e-01 1.000000214997518455e+00
-7.787199999999951615e+03 1.000000073549877078e+00 1.000000044824133516e+00 9.999999452421127755e-01 1.000000227041791812e+00
-7.785599999999951251e+03 1.000000065918227321e+00 1.000000066362731310e+00 1.000000029097978471e+00 1.000000229483346104e+00
-7.783999999999950887e+03 1.000000067189071640e+00 1.000000094437178300e+00 1.000000123250820883e+00 1.000000224648772917e+00
-7.782399999999950523e+03 1.000000052824753904e+00 1.000000094296263464e+00 1.000000203776860053e+00 1.000000193706194862e+00
-7.780799999999950160e+03 1.000000021897770042e+00 1.000000096579501729e+00 1.000000252145823776e+00 1.000000135568602566e+00
-7.779199999999949796e+03 9.999999709524500791e-01 1.000000087027026030e+00 1.000000277334171628e+00 1.000000066457264358e+00
-7.777599999999949432e+03 9.999999564939414665e-01 1.000000056903920242e+00 1.000000266620746814e+00 1.000000003993148034e+00
-7.775999999999949068e+03 9.999999660851610628e-01 1.000000050755362135e+00 1.000000240581915945e+00 9.999999765844705957e-01
-7.774399999999948704e+03 1.000000003924462311e+00 1.000000071467824547e+00 1.000000216880921444e+00 9.999999838984061640e-01
-7.772799999999948341e+03 1.000000040957954806e+00 1.000000112776290528e+00 1.000000173614356891e+00 1.000000009745541707e+00
-7.771199999999947977e+03 1.000000053368366615e+00 1.000000119066579041e+00 1.000000144978505645e+00 1.000000028490631632e+00
-7.769599999999947613e+03 1.000000070891692738e+00 1.000000113839502935e+00 1.000000114956969277e+00 1.000000043021373575e+00
-7.767999999999947249e+03 1.000000029785707900e+00 1.000000115599050332e+00 1.000000098062042486e+00 1.000000051992764760e+00
-7.766399999999946886e+03 9.999999846024451022e-01 1.000000117831637114e+00 1.000000082859795469e+00 1.000000060155123327e+00
-7.764799999999946522e+03 9.999999486283506211e-01 1.000000105662674166e+00 1.000000109980047736e+00 1.000000075999758709e+00
-7.763199999999946158e+03 9.999999844106945979e-01 1.000000116704198971e+00 1.000000145398489249e+00 1.000000083426273223e+00
-7.761599999999945794e+03 1.000000013009181732e+00 1.000000106904890496e+00 1.000000161650997477e+00 1.000000071297114435e+00
-7.759999999999945430e+03 9.999999954787134326e-01 1.000000134276067154e+00 1.000000156549828212e+00 1.000000039120250817e+00
